audit_speed,audit_length,audit_height,audit_width,audit_gap,audit_headway,audit_occupancy,vehicleClass
99.0,4997,1800,1480,4700,4846,181,4 ล้อ
106.0,5200,1980,1540,6840,6971,180,4 ล้อ
58.0,9599,4010,2610,4797,4945,591,6 ล้อ
96.0,3963,1530,1590,917,1113,147,4 ล้อ
63.0,16192,4490,2530,2154,2600,923,มากกว่า 6 
77.0,8000,2530,1850,1869,2066,297,6 ล้อ
67.0,16497,2690,2150,21066,21248,882,มากกว่า 6 
87.0,18000,4420,2550,1782,2228,740,มากกว่า 6 
92.0,4212,1380,1500,2586,2734,164,4 ล้อ
64.0,20000,4000,2600,2654,3563,1163,มากกว่า 6 
61.0,20000,3530,3080,1198,2196,1201,มากกว่า 6 
66.0,9426,3930,2670,6661,6775,508,6 ล้อ
105.0,4809,1820,1620,5225,5373,164,4 ล้อ
102.0,5154,1670,1650,1388,1518,181,4 ล้อ
109.0,4493,1440,1710,5366,5531,147,4 ล้อ
66.0,20000,4030,2610,4000,4964,1113,มากกว่า 6 
92.0,4672,1810,1800,1684,1848,181,4 ล้อ
100.0,4578,1620,1720,1515,1663,163,4 ล้อ
67.0,9926,3440,2480,1170,1368,528,มากกว่า 6 
101.0,4144,1420,1560,1568,1716,147,4 ล้อ
38.0,9753,2760,2630,1819,2234,913,6 ล้อ
85.0,6679,3270,530,7559,7691,282,6 ล้อ
70.0,18000,4490,2500,7396,7510,946,มากกว่า 6 
75.0,9595,3930,2660,2934,3792,458,6 ล้อ
75.0,9520,3100,2350,1345,1560,452,6 ล้อ
99.0,4097,1460,1580,11736,11884,147,4 ล้อ
65.0,17327,3760,2460,14618,14799,947,มากกว่า 6 
73.0,17000,3960,2670,24912,25027,807,มากกว่า 6 
83.0,4191,1900,1650,1667,1815,180,4 ล้อ
84.0,3450,1460,1430,5428,5626,147,4 ล้อ
62.0,9716,3810,2620,11079,11243,558,6 ล้อ
92.0,4201,1380,1520,1419,1566,164,4 ล้อ
71.0,9917,3780,2500,3330,3867,497,6 ล้อ
73.0,17010,4460,2520,2965,3179,829,มากกว่า 6 
63.0,9310,3940,2640,9178,9957,525,มากกว่า 6 
68.0,17591,4070,2490,6100,6609,929,มากกว่า 6 
82.0,6457,2630,1960,3937,4329,281,6 ล้อ
62.0,18000,4140,2550,2269,2584,1183,มากกว่า 6 
87.0,18000,4440,2480,7563,7776,762,มากกว่า 6 
51.0,11884,4320,1720,4231,4512,829,มากกว่า 6 
85.0,3934,1470,1210,1550,1697,165,4 ล้อ
70.0,9280,3730,2600,96798,96912,474,6 ล้อ
94.0,5000,3030,1950,4042,4207,177,4 ล้อ
103.0,4696,1780,1530,2183,2331,163,4 ล้อ
78.0,8919,3490,2450,1180,1328,411,6 ล้อ
110.0,3989,1600,1550,3714,3863,130,4 ล้อ
112.0,4085,1410,1320,3051,3198,131,4 ล้อ
102.0,4183,1430,1790,1552,1730,147,4 ล้อ
69.0,8894,3890,2590,3369,3500,458,6 ล้อ
72.0,3651,1570,1460,635,833,180,4 ล้อ
65.0,8000,3500,2470,1104,1285,393,6 ล้อ
69.0,8904,3750,2560,7544,7757,462,6 ล้อ
91.0,3777,1420,950,20412,20526,148,4 ล้อ
83.0,4964,1710,1670,769,983,214,4 ล้อ
91.0,3713,1780,1720,3983,4115,146,4 ล้อ
77.0,8919,3890,2540,18554,18947,414,มากกว่า 6 
59.0,16561,3080,2420,3764,3963,995,มากกว่า 6 
69.0,8000,2630,1960,0,0,330,6 ล้อ
110.0,4516,1380,1620,8723,8838,147,4 ล้อ
79.0,10163,3280,2550,6873,7426,461,6 ล้อ
88.0,3626,1410,1480,2448,2595,147,4 ล้อ
65.0,11402,3930,2560,551,1098,630,6 ล้อ
42.0,9258,3960,2640,3336,3985,791,มากกว่า 6 
65.0,9529,3980,2640,1134,1664,524,6 ล้อ
91.0,3750,1360,1750,867,1045,147,4 ล้อ
66.0,10197,3940,2650,4646,4778,551,6 ล้อ
57.0,17000,2910,2590,5581,5731,1049,มากกว่า 6 
65.0,15986,3740,1950,10492,10673,879,มากกว่า 6 
99.0,4061,1640,1430,10476,10690,146,4 ล้อ
118.0,4279,1910,1770,5526,5724,130,4 ล้อ
58.0,14401,3720,2200,31222,31339,881,มากกว่า 6 
90.0,4156,1750,910,2781,2945,165,4 ล้อ
87.0,3611,1510,1340,2015,2163,148,4 ล้อ
106.0,5200,1660,1680,4611,4742,181,4 ล้อ
64.0,9458,3770,2460,4786,5000,529,6 ล้อ
111.0,4065,1380,1060,2046,2210,131,4 ล้อ
83.0,12396,3260,2620,10910,11107,531,มากกว่า 6 
64.0,8000,3530,2530,6399,6647,442,6 ล้อ
82.0,10949,3970,2640,1868,2283,479,มากกว่า 6 
14.0,5169,1400,1620,1950,2983,1315,4 ล้อ
74.0,9554,3860,2560,1552,1994,462,6 ล้อ
70.0,9571,3770,2520,6879,7060,492,6 ล้อ
48.0,11185,3810,2710,3529,3845,829,6 ล้อ
90.0,3744,1490,1330,4832,5028,148,4 ล้อ
71.0,8765,3750,2430,14720,14916,441,6 ล้อ
57.0,16487,4460,2500,3532,3798,1023,มากกว่า 6 
87.0,8000,3350,2360,1584,1649,296,6 ล้อ
62.0,16111,4130,2500,2188,3015,925,มากกว่า 6 
74.0,8487,4180,2670,1880,2079,410,มากกว่า 6 
98.0,4018,1440,1440,1661,1841,147,4 ล้อ
103.0,5200,1780,1280,2682,2830,181,4 ล้อ
77.0,13000,3490,2410,8443,8642,579,มากกว่า 6 
100.0,5000,2250,1060,3462,3643,163,4 ล้อ
63.0,4390,2410,1420,26788,27004,247,4 ล้อ
83.0,4970,2140,1370,1166,1348,213,4 ล้อ
65.0,9934,3380,2640,1026,2041,542,6 ล้อ
80.0,17323,3950,2640,9408,9607,774,มากกว่า 6 
62.0,9977,3860,2590,3764,3895,575,6 ล้อ
95.0,3906,1780,1310,2234,2449,147,4 ล้อ
81.0,10684,4270,2530,10173,10337,474,มากกว่า 6 
79.0,10143,3930,2290,4934,5098,461,6 ล้อ
74.0,4082,1660,1460,687,833,197,4 ล้อ
67.0,4326,1680,1200,3265,3430,231,4 ล้อ
24.0,14242,4030,2560,635,1318,2130,มากกว่า 6 
91.0,8749,3680,1920,2886,3067,342,6 ล้อ
68.0,8078,3860,2520,1069,1284,425,มากกว่า 6 
91.0,3729,1560,1530,5843,5991,147,4 ล้อ
78.0,8173,3600,2490,4278,4492,375,6 ล้อ
63.0,17361,4070,2500,9855,10702,979,มากกว่า 6 
86.0,3151,1460,1330,1365,1530,130,4 ล้อ
103.0,4265,1810,1550,2416,2548,147,4 ล้อ
100.0,3653,1480,1470,5194,5375,130,4 ล้อ
58.0,17867,4470,2520,8239,8799,1096,มากกว่า 6 
69.0,8000,2960,2330,2099,2364,394,มากกว่า 6 
69.0,16893,4460,2540,2253,2484,880,มากกว่า 6 
89.0,4465,2430,1530,1000,1195,178,4 ล้อ
55.0,10688,3910,2440,1615,1898,695,6 ล้อ
69.0,8935,3810,2610,2466,2680,462,6 ล้อ
82.0,8000,2270,2350,756,951,278,6 ล้อ
108.0,2930,1490,1640,2884,3031,97,4 ล้อ
91.0,4603,1710,1670,4104,4300,180,4 ล้อ
70.0,13511,4570,2540,2048,2213,693,มากกว่า 6 
92.0,4551,2790,1730,1718,1883,177,4 ล้อ
67.0,8580,3550,2480,5133,5895,459,6 ล้อ
80.0,8743,3750,2470,5115,5328,391,6 ล้อ
96.0,4830,1780,1060,2766,2915,181,4 ล้อ
119.0,4336,1410,1590,8340,8454,130,4 ล้อ
82.0,18000,4080,2450,20348,20512,830,มากกว่า 6 
66.0,14972,4420,2500,1187,1402,806,มากกว่า 6 
86.0,3950,1590,1560,3698,3862,164,4 ล้อ
58.0,17494,3880,2860,7130,7261,1083,มากกว่า 6 
23.0,5200,2250,1760,566,1666,1365,4 ล้อ
80.0,18000,4450,2480,8827,8991,808,มากกว่า 6 
89.0,8242,3620,2500,2215,2430,329,6 ล้อ
112.0,5200,1950,1730,8508,8656,180,4 ล้อ
79.0,10941,3770,2550,1903,2116,497,6 ล้อ
40.0,10222,3860,2510,1582,2597,899,6 ล้อ
0.0,0,2590,2250,5826,5959,777,มากกว่า 6 
80.0,5000,2990,1710,3579,3777,211,6 ล้อ
79.0,10299,3800,2350,5863,5963,464,6 ล้อ
71.0,8136,3300,2460,10727,10942,412,มากกว่า 6 
76.0,9889,3840,2630,1065,1247,467,6 ล้อ
87.0,4723,2940,1460,2880,3044,194,4 ล้อ
60.0,15593,4150,2520,14924,15122,924,มากกว่า 6 
102.0,5115,2190,1700,9476,9623,178,4 ล้อ
85.0,3866,1380,1610,2985,3166,163,4 ล้อ
63.0,9907,3970,2580,2907,3932,563,6 ล้อ
70.0,9660,3810,2550,5727,5908,492,6 ล้อ
53.0,12018,4110,2490,7309,7473,809,มากกว่า 6 
72.0,8536,3380,2420,401,633,425,6 ล้อ
78.0,5029,2240,1430,800,998,230,4 ล้อ
67.0,9989,3800,2560,1878,2027,529,6 ล้อ
91.0,3787,1460,1440,2302,2450,148,4 ล้อ
76.0,18000,3280,2240,8245,8377,995,มากกว่า 6 
65.0,11059,4180,2490,7463,7678,607,มากกว่า 6 
49.0,16297,4430,2520,1091,1810,1190,มากกว่า 6 
65.0,9578,3840,2550,14205,14433,525,6 ล้อ
94.0,3865,1400,980,1182,1330,147,4 ล้อ
89.0,4894,1730,1660,4562,4710,197,4 ล้อ
91.0,5000,2230,1520,2231,2361,179,4 ล้อ
68.0,16398,4060,2480,3565,4445,859,มากกว่า 6 
81.0,2950,1490,1650,753,934,130,4 ล้อ
67.0,8000,2450,2320,1452,1600,399,6 ล้อ
94.0,3857,1660,1400,2134,2299,146,4 ล้อ
102.0,4643,1780,1380,3143,3309,163,4 ล้อ
59.0,10415,3730,2530,3168,3399,634,มากกว่า 6 
108.0,4949,1720,1660,10161,10292,164,4 ล้อ
81.0,4095,1940,1730,2263,2428,180,4 ล้อ
57.0,5200,2520,1540,902,1249,329,4 ล้อ
54.0,17683,3430,2540,2211,3412,1166,มากกว่า 6 
73.0,5014,2730,1710,10480,10759,245,4 ล้อ
67.0,16494,4390,2580,4220,4399,873,มากกว่า 6 
64.0,9445,3810,2630,6795,7292,525,6 ล้อ
71.0,9443,3850,2600,4891,5073,474,6 ล้อ
90.0,5200,1690,1710,2400,2612,213,4 ล้อ
69.0,17949,4050,2510,8912,9043,929,มากกว่า 6 
70.0,9636,3560,2530,1930,2612,495,6 ล้อ
97.0,4455,1390,1470,2015,2179,165,4 ล้อ
72.0,9244,3790,2470,1367,1532,459,6 ล้อ
61.0,16553,3810,2500,468,1100,964,มากกว่า 6 
91.0,10044,3760,2560,7423,7623,397,6 ล้อ
81.0,6710,2420,2280,15000,15196,296,6 ล้อ
99.0,4073,1440,1520,833,1014,147,4 ล้อ
77.0,13000,4330,1900,1414,1595,508,มากกว่า 6 
80.0,9157,3820,2590,6125,6340,408,6 ล้อ
106.0,3873,1520,1560,4278,4444,130,4 ล้อ
102.0,5172,1730,1270,3312,3476,181,4 ล้อ
71.0,9407,3790,2660,3694,3943,474,6 ล้อ
96.0,4398,1600,1600,1039,1514,164,4 ล้อ
68.0,8000,2860,2450,3789,4349,395,6 ล้อ
39.0,10856,3910,2600,5213,5745,996,6 ล้อ
68.0,11929,3460,2530,7542,7724,627,มากกว่า 6 
102.0,4673,1620,1720,3201,3316,163,4 ล้อ
77.0,18000,3480,2560,17572,17951,896,มากกว่า 6 
96.0,3939,1660,1610,2233,2398,147,4 ล้อ
66.0,17083,4350,2590,938,1848,924,มากกว่า 6 
74.0,9489,3850,2590,12521,13157,458,6 ล้อ
95.0,3467,1400,1480,2948,3079,130,4 ล้อ
100.0,4054,1890,1640,4446,4594,145,4 ล้อ
61.0,16362,3580,2580,101597,101697,959,มากกว่า 6 
63.0,9817,3980,2570,8591,8738,558,6 ล้อ
76.0,9398,3860,2580,4984,5098,441,6 ล้อ
63.0,9501,3760,2490,808,1737,542,6 ล้อ
60.0,10619,3900,2750,1254,1834,630,6 ล้อ
66.0,9717,3890,2570,1089,1915,525,6 ล้อ
84.0,3834,1760,1610,586,782,163,4 ล้อ
80.0,4413,1800,1670,670,865,196,4 ล้อ
105.0,4790,1910,1200,5994,6158,163,4 ล้อ
7.0,5000,2620,1470,2065,4096,2313,4 ล้อ
77.0,19148,3420,2740,5879,6027,893,มากกว่า 6 
91.0,2900,1450,1460,472,637,113,4 ล้อ
68.0,15700,4480,2510,1854,2116,823,มากกว่า 6 
76.0,9151,3240,2490,3196,3597,432,มากกว่า 6 
70.0,9685,3820,2550,3702,3950,492,6 ล้อ
58.0,10002,3920,2610,3265,4144,612,6 ล้อ
94.0,5143,2200,1670,1031,1179,196,4 ล้อ
105.0,4308,1450,1660,4150,4281,147,4 ล้อ
96.0,5233,2260,1750,1330,1461,195,6 ล้อ
61.0,9865,3930,2630,2585,2865,579,6 ล้อ
109.0,4474,1980,1360,34996,35144,146,4 ล้อ
99.0,4024,1770,1720,8890,9089,146,4 ล้อ
76.0,12500,3550,2250,7821,7970,598,มากกว่า 6 
76.0,16980,4460,2460,6579,6774,795,มากกว่า 6 
67.0,9553,3340,2550,2095,2626,512,มากกว่า 6 
71.0,9067,3810,2430,2480,2629,458,6 ล้อ
72.0,16240,4450,2520,5877,6058,812,มากกว่า 6 
100.0,4138,1380,1680,4147,4345,147,4 ล้อ
73.0,8862,3130,2250,4663,4858,433,มากกว่า 6 
84.0,3852,1460,1690,788,967,163,4 ล้อ
101.0,3674,1540,1540,3851,3999,130,4 ล้อ
65.0,11104,3960,2580,1267,1532,610,6 ล้อ
0.0,0,2930,2750,6450,7046,894,มากกว่า 6 
76.0,15801,4430,2510,22596,22843,741,มากกว่า 6 
66.0,8000,3680,2500,1099,1280,413,6 ล้อ
65.0,9342,2900,2480,5309,5690,511,มากกว่า 6 
73.0,8000,3150,2300,4545,4725,276,6 ล้อ
70.0,11313,3770,2400,35504,36379,580,6 ล้อ
61.0,5040,2690,1710,3478,3794,295,4 ล้อ
73.0,11478,3840,2360,4891,4975,558,6 ล้อ
76.0,17942,3510,2510,14226,14406,847,มากกว่า 6 
66.0,19350,4050,2680,3632,4178,1040,มากกว่า 6 
65.0,15526,4470,2450,1755,1936,857,มากกว่า 6 
97.0,13409,3840,2030,3530,3661,493,6 ล้อ
72.0,4937,1950,1700,902,1117,246,4 ล้อ
49.0,9422,3540,2530,2734,3033,683,6 ล้อ
86.0,4318,1720,1020,30169,30351,180,4 ล้อ
58.0,9924,3910,2580,19232,19363,613,6 ล้อ
76.0,4803,2950,1990,8023,8255,227,4 ล้อ
91.0,4602,1620,1690,3147,3295,180,4 ล้อ
71.0,8000,4390,2470,7701,8095,392,มากกว่า 6 
98.0,3557,1800,1090,34933,35081,130,4 ล้อ
61.0,9570,3290,2250,2563,2763,563,6 ล้อ
73.0,15470,4080,2470,6410,6608,757,มากกว่า 6 
89.0,8000,2870,1760,1869,2017,161,4 ล้อ
74.0,9076,3490,2500,4825,4989,437,6 ล้อ
86.0,5078,2140,1670,1914,2095,212,4 ล้อ
101.0,4585,1770,1770,1986,2133,163,4 ล้อ
85.0,16061,4470,2500,45942,46454,673,มากกว่า 6 
52.0,17279,4000,2640,4021,4397,1175,มากกว่า 6 
95.0,5000,3170,1960,1016,1163,177,4 ล้อ
130.0,4130,1600,1540,4693,4791,113,4 ล้อ
71.0,17076,3310,2480,11024,11238,859,มากกว่า 6 
86.0,3156,1490,1530,1200,1348,130,4 ล้อ
89.0,3670,1440,1460,1070,1218,147,4 ล้อ
67.0,9555,3720,2510,2385,2616,509,6 ล้อ
70.0,9575,3850,2570,1809,2734,491,6 ล้อ
61.0,8476,3460,2080,7264,7445,493,มากกว่า 6 
83.0,8000,3380,2340,6711,6843,329,6 ล้อ
70.0,8000,2480,2010,8357,8553,363,6 ล้อ
60.0,19050,3920,2670,5699,6247,1141,มากกว่า 6 
74.0,10304,4030,2560,13971,14234,496,มากกว่า 6 
99.0,3599,1670,1500,6229,6378,130,4 ล้อ
82.0,4161,1660,1400,6961,7159,180,4 ล้อ
94.0,4227,3120,1250,2234,2430,161,4 ล้อ
84.0,4647,1610,1670,838,1003,197,4 ล้อ
67.0,9534,3810,2510,9022,9204,508,6 ล้อ
92.0,4642,1770,1660,699,864,180,4 ล้อ
77.0,10388,3950,2570,6011,6142,479,6 ล้อ
87.0,4759,2240,1730,1082,1213,195,4 ล้อ
76.0,9036,3680,2500,1749,1929,425,6 ล้อ
27.0,5200,1650,1740,1069,1650,697,4 ล้อ
59.0,9921,3840,2570,55893,57695,596,6 ล้อ
67.0,17185,3440,2440,3630,3794,917,มากกว่า 6 
67.0,10064,3740,2550,856,1233,534,6 ล้อ
32.0,9946,3980,2580,1500,1949,1096,6 ล้อ
90.0,3296,1420,1360,2269,2415,130,4 ล้อ
73.0,10105,3920,2610,6615,6779,492,6 ล้อ
63.0,16372,3740,2480,5125,5356,929,มากกว่า 6 
70.0,17000,3590,2520,5060,5191,759,มากกว่า 6 
99.0,4532,1780,1710,3531,3696,163,4 ล้อ
81.0,18193,3400,2320,8904,9052,800,มากกว่า 6 
0.0,0,2900,2590,2915,3113,1012,มากกว่า 6 
62.0,15787,4450,2560,11190,11339,906,มากกว่า 6 
107.0,4353,1820,1400,11652,11800,146,4 ล้อ
70.0,13000,3780,2530,3776,3943,514,มากกว่า 6 
88.0,12116,4000,2540,4349,4545,493,6 ล้อ
62.0,11628,3020,2600,4202,5182,665,มากกว่า 6 
94.0,8599,3790,1580,3913,4094,326,6 ล้อ
62.0,16011,3400,2530,18518,18615,917,มากกว่า 6 
71.0,8000,2880,2350,3654,3868,329,6 ล้อ
63.0,9599,3820,2640,2615,2846,541,6 ล้อ
91.0,4996,1850,1780,937,1118,196,4 ล้อ
103.0,3261,1430,1390,9709,9887,113,4 ล้อ
50.0,9158,2970,2330,6328,6859,650,มากกว่า 6 
70.0,18000,4110,2560,19706,20531,965,มากกว่า 6 
99.0,3613,1730,1380,5895,6059,130,4 ล้อ
80.0,5094,2960,1510,920,1101,228,4 ล้อ
77.0,9646,3730,2580,1480,1696,447,6 ล้อ
72.0,16608,3460,2550,2015,2296,829,มากกว่า 6 
102.0,4207,1570,1510,2448,2596,147,4 ล้อ
69.0,16244,2820,2190,1480,1679,845,มากกว่า 6 
74.0,8000,3760,2530,10243,11223,374,มากกว่า 6 
70.0,9312,3860,2610,7793,7874,474,6 ล้อ
101.0,5200,1760,930,3798,3930,199,4 ล้อ
104.0,9436,3460,2620,67353,67517,326,มากกว่า 6 
80.0,11100,3900,2670,8221,8551,497,6 ล้อ
83.0,10541,3810,2570,1054,1168,452,6 ล้อ
17.0,8000,3690,2550,4893,5342,1276,มากกว่า 6 
96.0,3983,1680,1370,9327,9492,148,4 ล้อ
65.0,16900,3980,2600,8062,9004,924,มากกว่า 6 
84.0,8000,3050,2280,5897,6045,260,6 ล้อ
39.0,5200,1760,1880,1003,1484,480,4 ล้อ
38.0,9032,4070,2490,2315,2829,835,6 ล้อ
67.0,17244,4080,2550,4362,4543,925,มากกว่า 6 
62.0,10462,3740,2500,5214,5378,598,6 ล้อ
70.0,8845,2910,2490,2567,3046,451,มากกว่า 6 
76.0,15396,3600,2540,5178,5360,728,มากกว่า 6 
83.0,3423,1360,1180,29239,29353,147,4 ล้อ
87.0,4400,1720,1820,1331,1497,181,4 ล้อ
66.0,12500,4050,2550,1235,1765,746,มากกว่า 6 
76.0,10300,4210,2610,1934,2498,485,6 ล้อ
62.0,9739,3990,2600,4847,5147,558,6 ล้อ
85.0,10835,3900,2610,4114,4278,453,6 ล้อ
81.0,12432,4290,2510,7670,8682,547,มากกว่า 6 
106.0,5200,1610,1700,6560,6707,180,4 ล้อ
